"1		Date Time (yyyy-mm-dd hh:mm)"
"2		Record number (-)"
"3		Station code 1 (-)"
"4		Station code 2 (-)"
"5		Diffuse horizontal irradiance (mV) # to convert to W.m^-2 = mV * 1000 / 8.64"
"6		Diffuse horizontal irradiance - Standard deviation(mV) # to convert to W.m^-2 = mV * 1000 / 8.64"
"7		Global horizontal irradiance (mV) # to convert to W.m^-2 = mV * 1000 / 8.63"
"8		Global horizontal irradiance - Standard deviation(mV) # to convert to W.m^-2 = mV * 1000 / 8.63"
"9		Direct normal irradiance (estimate from sunshine duration) (W.m^-2)"
"10		Direct normal irradiance (estimate from sunshine duration) - Standard deviation (W.m^-2)"
"11		Sunshine duration (s)"
"12		Battery voltage (V)"
"13		Global south tilted#1 irradiance (mV) # to convert to W.m^-2 = mV * 1000 / 5.12"
"14		Global south tilted#1 irradiance - Standard deviation(mV)"
"15		Global south tilted#2 irradiance (mV) # to convert to W.m^-2 = mV * 1000 / 5.00"
"16		Global south tilted#2 irradiance - Standard deviation(mV)"
